time,BSSID,Quality,RSSI,ESSID
20-09-09-14-56-05,10:BD:18:C7:27:5F,25/70,-85,Unifi
20-09-09-14-56-05,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-56-17,70:DF:2F:9C:47:4F,28/70,-82,Unifi
20-09-09-14-56-17,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-56-17,A0:CF:5B:3E:17:50,33/70,-77,Unifi
20-09-09-14-56-17,10:BD:18:C7:27:50,34/70,-76,Unifi
20-09-09-14-56-17,10:BD:18:F0:CA:B0,31/70,-79,Unifi
20-09-09-14-56-17,10:BD:18:C7:27:5F,25/70,-85,Unifi
20-09-09-14-56-17,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-56-17,A0:CF:5B:3E:17:5F,25/70,-85,Unifi
20-09-09-14-56-17,1C:E6:C7:3F:91:4F,30/70,-80,Unifi
20-09-09-14-56-29,70:DF:2F:9C:47:4F,28/70,-82,Unifi
20-09-09-14-56-29,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-09-14-56-29,A0:CF:5B:3E:17:50,35/70,-75,Unifi
20-09-09-14-56-29,10:BD:18:C7:27:50,28/70,-82,Unifi
20-09-09-14-56-29,10:BD:18:C7:27:5F,25/70,-85,Unifi
20-09-09-14-56-29,10:BD:18:F0:C8:AF,26/70,-84,Unifi
20-09-09-14-56-29,A0:CF:5B:3E:17:5F,25/70,-85,Unifi
20-09-09-14-56-29,1C:E6:C7:3F:91:4F,32/70,-78,Unifi
20-09-09-14-56-29,10:BD:18:C7:29:EF,25/70,-85,Unifi
20-09-09-14-56-29,A0:CF:5B:3D:83:7F,22/70,-88,Unifi
20-09-09-14-56-44,10:BD:18:C7:27:50,28/70,-82,Unifi
20-09-09-14-56-44,A0:CF:5B:3E:17:5F,25/70,-85,Unifi
20-09-09-14-56-44,1C:E6:C7:3F:91:4F,32/70,-78,Unifi
20-09-09-14-56-44,10:BD:18:C7:29:EF,25/70,-85,Unifi
20-09-09-14-56-44,A0:CF:5B:3D:83:7F,25/70,-85,Unifi
20-09-09-14-56-44,10:BD:18:F0:C8:AF,34/70,-76,Unifi
